"País","pob_aglo","pob_ciudad","conta","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","Años Obligatorios de Educacion","Desempleo","celulares","2018_pbi","2018_infl"
"Alemania",9.58303125347759,5.54186916592983,89.1743564300489,9.58,8.57,8.33,7.5,9.41,13,3.3840000629425,129.3242137,1.51202554251684,1.22278723255135
"Angola",25.2329115687424,38.515297744971,100,1.75,2.86,5.56,5,2.94,6,7.01900005340576,43.13051888,29.0658847207699,-5.16205036467497
"Argelia",6.37850392208528,8.78230990288061,100,2.58,2.21,3.89,5,4.12,10,11.8819999694824,111.6647921,7.55658500081616,-0.615183263534163
"Argentina",43.0081024392632,36.6134837504002,93.8528246666324,9.17,5.36,6.11,6.25,8.24,14,9.22000026702881,132.0931513,40.7027906889545,-3.46737624314432
"Armenia",36.5991186323081,57.9567675616692,100,5.67,4.64,5.56,2.5,5.59,12,17.496000289917,121.259018,2.7877095139188,4.95169918042562
"Australia",60.8916182277904,22.3020126013875,24.8935837696774,10,8.93,7.78,8.75,10,10,5.2979998588562,111.012255,1.89461830647863,1.37114449535596
"Austria",21.4981334244893,36.8769086796647,85.0515376653505,9.58,7.86,8.33,6.88,9.12,13,4.84800004959106,123.5352681,1.70225038320027,1.92211865205813
"Azerbaiyán",22.9957913517323,41.2999163062584,100,0.5,2.14,3.33,3.75,3.53,10,4.90000009536743,103.9214187,12.1844329641445,0.624884409708642
"Bélgica",26.9686220087872,18.3014399890272,91.9485403518636,9.58,8.93,5,6.88,8.53,12,5.94799995422363,99.69668646,1.5335694355189,1.02672843817844
"Bolivia",41.3356144052457,23.0158036386824,99.9991320215104,7.5,4.64,5.56,3.75,7.06,14,3.53399991989136,100.8164084,3.05626671196583,2.75215380976242
"Brasil",41.9461931451321,11.939294933562,68.1350300575805,9.58,5.36,6.67,5,8.24,14,12.3339996337891,98.8435013,3.28543989750865,0.526155826049262
"Bulgaria",18.1126163463623,24.1475782545822,99.8946743201431,9.17,6.43,7.22,4.38,7.94,11,5.21099996566772,118.9396801,4.01228802924223,3.83123442190116
"Burkina Faso",12.8161228988025,43.6546158282195,100,4.42,4.29,4.44,5.63,5,10,6.0939998626709,97.91227142,2.37753650415873,3.80050234414495
"Camerún",28.0286031575607,25.7161651648096,100,3.17,2.86,3.33,4.38,2.65,6,3.35700011253357,73.19019901,1.59928885997273,1.37919198196641
"Canadá",45.9338791748504,20.1611105562755,0,9.58,9.64,7.78,8.75,10,10,5.83099985122681,89.57894095,1.81459782668129,0.597463557030892
"Chad",8.54567953703351,37.0600571866467,100,0,0,1.67,3.75,2.65,10,1.83800005912781,45.12373876,5.0146577780751,-0.674995563522558
"Chile",35.6682894481119,40.7339645446385,97.6630177077565,9.58,8.57,4.44,8.13,9.12,12,7.23299980163574,134.4373213,2.36047931576597,2.51338504277558
"China",27.8875617671767,3.10527790612515,99.9982944622564,0,5,3.89,6.25,1.47,9,4.27600002288818,115.5258122,3.49796591201293,6.26604182706623
"Colombia",43.8968000864474,26.3666682749363,92.1046289822956,9.17,6.79,5,5.63,8.24,12,9.11100006103516,129.9086097,4.48347809655093,0.971629907629179
"Costa Rica",27.1579362572736,34.2298205294467,99.6887933668832,9.58,7.5,6.67,7.5,9.12,13,9.63199996948242,169.9306983,2.54095145370013,1.64419088626954
"Cuba",18.843199826991,24.4599356510304,99.9999999999811,1.08,3.57,3.33,4.38,2.65,9,1.70000004768372,47.39153727,1.00407709893717,2.2585896849249
"Dinamarca",22.7978768427979,25.9438235351889,56.9144561104444,10,9.29,8.33,9.38,9.12,10,4.97499990463257,125.4530064,0.845682604608839,1.88489021571982
"Ecuador",27.6345957884163,26.5861487148008,98.3156239365569,8.75,5.36,6.11,4.38,7.65,15,3.52999997138977,92.32327021,1.81887357109558,-0.483387784029688
"El Salvador",17.2362891278643,23.9316479587026,100,9.17,4.29,5.56,3.75,7.06,15,4.00600004196167,146.9221022,2.0751836888099,1.91053750875901
"Emiratos Árabes Unidos",59.9724700312814,33.4262581877277,100,0,3.93,2.22,5,2.65,6,2.22900009155273,208.5048332,8.20653728779584,-0.320549385279065
"España",25.6235566347906,17.2849066510477,41.115549425172,9.17,7.14,7.78,7.5,8.82,10,15.2550001144409,115.9942148,1.09310637486971,1.90370838533138
"Estados Unidos",46.3258859113805,7.00333284743736,3.34317037021352,9.17,7.14,7.78,7.5,8.24,12,3.89599990844727,129.0140075,2.3596919352368,2.39109654413916
"Filipinas",14.2777061251648,26.9502658922642,96.3706587650922,9.17,5.71,7.22,4.38,7.06,13,2.33800005912781,126.1986393,3.74065382988688,4.86713156620144
"Finlandia",23.1908295221216,27.161260374759,0,10,8.93,8.33,8.75,9.71,10,7.36100006103516,129.4685668,1.78724593225657,1.49536765647009
"Francia",22.7643326951181,20.2356418476475,78.2135639205549,9.58,7.5,7.78,5.63,8.53,10,9.05900001525879,108.357357,0.951860489887494,1.63852670152079
"Georgia",28.909669509243,49.3069864298954,100,7.83,3.57,6.11,4.38,5,9,13.7849998474121,136.380667,4.33422522782958,4.91088036824362
"Ghana",18.4905668363887,18.3654162432694,100,8.33,5.71,6.67,6.25,6.18,11,4.15700006484985,137.5171658,10.2102029177803,3.95866714679696
"Grecia",29.4012363128561,37.1894505281076,99.9999999998588,9.58,5.36,6.11,6.88,8.53,10,19.2919998168945,115.6669118,0.549763603926422,2.14138550253047
"Guatemala",17.4411985110372,34.1622560501293,100,7.92,5.36,3.89,4.38,6.47,16,2.40199995040894,118.6670871,1.22859662060773,1.57621700497243
"Guinea",14.8467358416306,41.0811684295341,100,3.5,0.43,4.44,4.38,2.94,6,4.24700021743774,96.76749212,10.2764134263479,3.21509688980272
"Haití",23.7051270248713,42.8834760823847,100,5.58,2.93,3.89,6.25,5.88,6,13.5920000076294,57.52891844,12.7899934124778,0.199179706745653
"Honduras",14.2168226576168,24.8998555376855,99.9835217097179,8.5,4.64,4.44,4.38,6.18,12,5.64799976348877,79.15031642,1.90807980253712,1.98232777609925
"Hungría",17.9989308033787,25.2258972556557,100,8.75,6.07,5,6.25,7.06,13,3.70799994468689,103.4451716,4.52869119976292,5.22733255137207
"India",15.4350806157941,6.19464475222521,100,9.17,6.79,7.22,5.63,7.35,8,5.32999992370605,86.94256319,4.55554436261933,5.02447333113413
"Indonesia",13.3834074123722,7.10196276396912,95.5671472610627,7.95,7.15,6.7,5.65,5.6,9,4.51100015640259,119.3387219,3.81974052399639,3.98405714717092
"Irlanda",24.6835422232705,39.0747797172002,0.274091678859734,9.58,7.86,8.33,10,10,10,5.73999977111816,103.1710486,0.818947196760206,6.83804780403608
"Israel",57.930157157653,48.858904760037,100,9.17,7.5,8.89,7.5,5.88,15,3.99799990653992,127.6618693,1.15142608017476,1.47961747988643
"Italia",18.7441544238367,9.89126402356548,94.7772139982593,9.58,6.07,7.78,6.88,8.24,12,10.6099996566772,137.466947,0.897785763353639,0.989882105751775
"Japón",64.6280420867611,32.3223008102939,76.7615082281987,8.75,8.21,6.67,7.5,8.82,9,2.40000009536743,141.4069924,-0.0979218330334817,0.526738907751749
"Jordania",20.7370401659862,22.7932168226138,100,3.58,4.29,3.89,4.38,3.53,10,14.9589996337891,87.62148885,1.76506156195033,0.129635568275077
"Kuwait",72.2515004911401,72.2515004911401,100,3.17,4.29,3.89,4.38,3.53,9,2.07599997520447,171.6053322,14.5902471461894,-0.741130963542489
"Líbano",34.8269399942327,39.311165343918,100,3.92,2.21,6.67,5.63,4.71,10,6.14300012588501,64.49805872,5.45761428937841,-2.45697312280303
"Madagascar",11.6455111740114,31.3127141278542,100,6.08,3.57,6.11,5.63,4.71,5,1.68900001049042,40.57034123,7.58254319797314,1.81023889935288
"Malasia",23.9906484861277,31.5516970601393,90.537343806725,7.75,7.86,6.67,6.25,5.88,6,3.34999990463257,134.5259947,0.71190565562911,3.3345011012496
"Marruecos",21.7315718183433,16.3704746014871,100,5.25,4.64,5,5.63,4.41,9,9.07800006866455,124.1715549,1.0660233458723,1.68827508535729
"Mauritania",27.375123174133,51.004485583805,100,3,3.57,5,3.13,4.41,9,9.46399974822998,103.7060504,1.80833187829799,-0.684871982415757
"México",40.7090420895066,21.3355771014877,99.6561265475774,8.33,6.07,7.22,3.13,6.18,14,3.28299999237061,95.2316028,4.96688092532254,0.991932458168463
"Mongolia",47.9583989441702,70.0685162884606,97.0139805896742,9.17,5.71,5.56,5,7.06,12,6.25400018692017,133.1783386,8.41183491671578,5.33766339058026
"Nepal",4.73418579856052,23.9827030021935,100,4.33,5.36,5,5.63,5.59,10,1.35000002384186,139.4463618,6.70063545527202,4.95069677873525
"Nicaragua",16.2078863657068,27.6953697762113,99.9026951322358,2.67,1.86,3.89,5.63,4.12,7,5.19999980926514,115.0959067,3.59246623097648,-5.14914016579304
"Nigeria",16.5138200055811,13.6530372484442,100,6.08,4.64,3.33,3.75,4.41,9,8.24300003051758,88.18424125,10.2284850900327,-0.679719293893655
"Noruega",19.0557418453153,23.168636821933,2.04383779996992,10,9.64,10,10,9.71,10,3.79999995231628,107.1737116,5.78159199736361,0.623147013717045
"Omán",29.9527506360412,35.430686365254,100,0,3.93,2.78,4.38,4.12,10,2.86400008201599,139.9674164,10.3423703651869,-1.68277807762448
"Países Bajos",12.4159510444285,7.17839968289677,99.5981414813269,9.58,9.29,8.33,8.13,9.12,13,3.82999992370605,123.7312099,2.20778826560264,2.00009858507431
"Pakistán",20.0718671999811,19.7918930572625,100,6.08,5.36,2.22,2.5,4.71,12,4.08300018310547,72.55706103,2.45928609500187,3.68276203552507
"Panamá",42.6991675351393,63.0627636248687,71.6367476557604,9.58,6.07,6.67,5,7.94,11,3.89400005340576,137.0014238,0.948617363108809,1.95179809298511
"Paraguay",46.3221120083449,75.2165552104906,99.0583082497181,8.75,5.71,5,4.38,7.35,13,4.53399991989136,106.9525792,2.18674624208246,2.02947951100916
"Perú",32.4815525562708,41.6927261076316,99.9629262855861,9.17,5,5.56,5.63,7.65,14,3.39000010490417,131.7778873,2.01623291258031,2.20561703131051
"Polonia",4.65519325341181,7.75116275245951,99.9661157279646,9.17,6.07,6.11,4.38,7.65,10,3.84500002861023,134.7484225,1.17943338717572,5.34923595322803
"Portugal",41.1738942972759,43.6510008748643,16.0083566266812,9.58,7.5,6.11,6.88,9.12,12,6.99300003051758,115.6330424,1.58612975001257,2.80170349737396
"Reino Unido",26.8304584761102,16.3215591907697,66.5332490328298,9.58,7.5,8.33,8.13,9.12,11,3.99600005149841,118.3651292,2.13684057763119,0.72852423953023
"República Dominicana",29.8494659676405,36.8175557007141,99.9134426224712,9.17,5.36,6.11,5,7.06,15,5.73899984359741,84.10208352,4.12148968696981,5.83455956577403
"Senegal",18.7861194018554,39.807845239034,100,7.5,6.07,4.44,6.25,6.47,11,6.52699995040894,104.450641,-0.487444709665809,3.46093526161526
"Serbia",19.8973191090315,35.4726526177004,100,8.25,5.36,6.11,5,7.35,8,12.7329998016357,95.78099081,2.12356741811402,4.96414998873551
"Sierra Leona",14.8487076207878,35.3078322255625,100,6.58,1.86,3.33,6.25,5.29,9,4.41699981689453,83.07224041,13.4260267912915,1.25932772139537
"Singapur",100,100,100,4.33,7.86,6.11,6.25,7.35,6,4.01900005340576,148.821563,3.08932962515523,2.95339703994944
"Sudáfrica",35.3078235783543,14.3089032487188,100,7.42,7.5,8.33,5,7.94,9,26.9200000762939,159.9306644,3.91653962575576,-0.572080196712221
"Suecia",15.5570978654601,17.7935726248163,3.63648738190616,9.58,9.64,8.33,10,9.41,9,6.34600019454956,126.8307474,2.39692033450507,0.772577449000039
"Suiza",16.0996715067036,21.8161611721448,49.3001362303515,9.58,9.29,7.78,9.38,9.12,11,4.71299982070923,126.5434466,0.230767974241402,1.99643916740311
"Tailandia",20.0552124657007,29.2867702400653,100,3,4.29,5,5,5.88,9,0.765999972820282,180.1826119,1.46447905791358,3.82273796707413
"Togo",22.1285739528519,53.0635792468487,100,3.17,0.79,3.33,5,3.24,10,2.0789999961853,77.88610174,1.32842544443837,2.3752725065104
"Túnez",19.807493235744,28.729411823724,100,6.42,5.71,7.78,6.25,5.88,9,15.4589996337891,127.7071968,6.47778433624735,1.49480936027844
"Turquía",36.8553458706931,23.8463704730436,100,4.5,5,5,5,2.35,12,10.8900003433228,97.30132788,16.4387463942893,1.30556428320997
"Ucrania",12.1100023983407,9.55421642481087,100,6.17,3.21,6.67,6.25,6.18,11,8.79899978637695,127.753861,15.3979947622403,3.93289796855672
"Uganda",6.99001072931462,29.4019129075429,100,5.25,3.57,4.44,6.88,5.88,7,1.74899995326996,57.27260732,4.08797641909101,2.27724053899796
"Uruguay",50.3577393551559,52.822429451808,22.3857446597034,10,8.57,6.11,7.5,9.71,14,8.33600044250488,149.9042265,5.55504296826201,1.24731253455232
"Uzbekistán",7.47651876283905,14.8114402984447,100,0.08,1.86,2.22,5,0.88,12,5.73600006103516,71.51737128,27.4703062659273,3.63067001451314
"Zambia",14.5451238492419,33.4209340801511,100,6.17,4.64,3.89,6.88,6.47,7,11.5,89.15704437,10.2409007457137,1.04819282575673
